mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,state_payload,rect_count,tag_count,status,detail
APPLY,167,297,298,15334,DONE,,16,6,UPDATED,
APPLY,167,297,299,15335,DONE,,16,6,UPDATED,
APPLY,167,297,300,15336,DONE,,16,6,UPDATED,
APPLY,167,297,301,15337,DONE,,16,6,UPDATED,
APPLY,167,297,302,15338,DONE,,16,6,UPDATED,
APPLY,167,297,303,15339,DONE,,16,6,UPDATED,
APPLY,167,297,304,15340,DONE,,16,6,UPDATED,
APPLY,167,297,305,15341,DONE,,16,6,UPDATED,
APPLY,167,297,306,15342,DONE,,16,6,UPDATED,
APPLY,167,297,307,15343,DONE,,16,6,UPDATED,
APPLY,167,297,308,15344,DONE,,16,6,UPDATED,
APPLY,167,297,309,15345,DONE,,16,6,UPDATED,
APPLY,167,297,310,15346,DONE,,16,6,UPDATED,
APPLY,167,297,311,15347,DONE,,16,6,UPDATED,
APPLY,167,297,312,15348,DONE,,16,6,UPDATED,
APPLY,167,297,313,15349,DONE,,16,6,UPDATED,
APPLY,167,297,314,15350,DONE,,16,6,UPDATED,
APPLY,167,297,315,15351,DONE,,16,6,UPDATED,
APPLY,167,297,316,15352,DONE,,16,6,UPDATED,
APPLY,167,297,317,15353,DONE,,16,6,UPDATED,
APPLY,167,297,318,15354,DONE,,16,6,UPDATED,
APPLY,167,297,319,15355,DONE,,16,6,UPDATED,
APPLY,167,297,320,15356,DONE,,16,6,UPDATED,
APPLY,167,297,321,15357,DONE,,16,6,UPDATED,
APPLY,167,297,322,15358,DONE,,16,6,UPDATED,
APPLY,167,297,323,15359,DONE,,16,6,UPDATED,
APPLY,167,297,324,15360,DONE,,16,6,UPDATED,
APPLY,167,297,325,15361,DONE,,16,6,UPDATED,
APPLY,167,297,326,15362,DONE,,16,6,UPDATED,
APPLY,167,297,327,15363,DONE,,16,6,UPDATED,
APPLY,167,297,328,15364,DONE,,16,6,UPDATED,
APPLY,167,297,329,15365,DONE,,16,6,UPDATED,
APPLY,167,297,330,15366,DONE,,16,6,UPDATED,
APPLY,167,297,331,15367,DONE,,16,6,UPDATED,
APPLY,167,297,332,15368,DONE,,16,6,UPDATED,
APPLY,167,297,333,15369,DONE,,16,6,UPDATED,
APPLY,167,297,334,15370,DONE,,16,6,UPDATED,
APPLY,167,297,335,15371,DONE,,16,6,UPDATED,
APPLY,167,297,336,15372,DONE,,16,6,UPDATED,
APPLY,167,297,337,15373,DONE,,16,6,UPDATED,
APPLY,167,297,338,15374,DONE,,16,6,UPDATED,
APPLY,167,297,339,15375,DONE,,16,6,UPDATED,
APPLY,167,297,340,15376,DONE,,16,6,UPDATED,
APPLY,167,297,341,15377,DONE,,16,6,UPDATED,
APPLY,167,297,342,15378,DONE,,16,6,UPDATED,
APPLY,167,297,343,15379,DONE,,16,6,UPDATED,
APPLY,167,297,344,15380,DONE,,16,6,UPDATED,
APPLY,167,297,345,15381,DONE,,16,6,UPDATED,
APPLY,167,297,346,15382,DONE,,16,6,UPDATED,
APPLY,167,297,347,15383,DONE,,16,6,UPDATED,
APPLY,167,297,348,15384,DONE,,16,6,UPDATED,
APPLY,167,297,349,15385,DONE,,16,6,UPDATED,
APPLY,167,297,350,15386,DONE,,16,6,UPDATED,
APPLY,167,297,351,15387,DONE,,16,6,UPDATED,
APPLY,167,297,352,15388,DONE,,16,6,UPDATED,
APPLY,167,297,353,15389,DONE,,16,6,UPDATED,
APPLY,167,297,354,15390,DONE,,16,6,UPDATED,
APPLY,167,297,355,15391,DONE,,16,6,UPDATED,
APPLY,167,297,356,15392,DONE,,16,6,UPDATED,
APPLY,167,297,357,15393,DONE,,16,6,UPDATED,
APPLY,167,297,358,15394,DONE,,16,6,FAILED,"状态码 500: {""msg"":""unhandled errors in a TaskGroup (1 sub-exception)"",""err_code"":99999}"
APPLY,167,297,359,15395,DONE,,16,6,UPDATED,
APPLY,167,297,360,15396,DONE,,16,6,UPDATED,
